# %ECSV 0.9
# ---
# datatype:
# - {name: kmin, datatype: float64}
# - {name: kmax, datatype: float64}
# - {name: kavg, datatype: float64}
# - {name: power, datatype: float32}
# - {name: N_modes, datatype: uint64}
# meta:
#   AllowGroupFinding: 1
#   BackupDirectory: /gpfs/alpine/proj-shared/ast145/AbacusSummit/AbacusSummit_base_c000_ph000
#   BackupStepInterval: -1
#   BoxSize: 2000.0
#   BoxSizeHMpc: 2000.0
#   BoxSizeMpc: 2969.1211401425176
#   CPD: 1701
#   CodeVersion: 8d43e2d166b9bcb0168a6ca49a4643d06bfb2625
#   Conv_IOCores: 0
#   Conv_IOMode: overwrite
#   Conv_OMP_NUM_THREADS: 42
#   Conv_OMP_PLACES: '{0}:21:4,{88}:21:4'
#   Conv_OMP_PROC_BIND: spread
#   Conv_zwidth: 0
#   ConvolutionCacheSizeMB: 200
#   ConvolutionL1CacheSizeMB: 0.015625
#   CoordinateDistanceHMpc: 2454.803659423134
#   DeleteICsAfterFirstBackup: 1
#   DeltaEtaDrift: 0.0007906577988272545
#   DeltaRedshift: 0.000714768761372
#   DeltaScaleFactor: 0.00016202393676
#   DeltaTime: 0.000179226480857
#   DensityKernelRad: 0.4
#   DensityKernelRad2: 3.34898e-09
#   DerivativeExpansionRadius: 8
#   DerivativesDirectory: /gpfs/alpine/proj-shared/ast145/Derivatives
#   DirectBPD: 2
#   Do2LPTVelocityRereading: 0
#   DoublePrecision: 0
#   FinalRedshift: 0.1
#   FirstHalfEtaKick: 0.0001882358404348139
#   FoFLinkingLength: !!python/tuple [0.25, 0.25, 0.25]
#   FullStepNumber: 588
#   GPUQueueAssignments: !!python/tuple [0, 0, 0, 1, 1, 1]
#   GPUThreadCoreStart: !!python/tuple [72, 76, 80, 160, 164, 168]
#   GroupDirectory: /gpfs/alpine/proj-shared/ast145/AbacusSummit/AbacusSummit_base_c000_ph000/group
#   GroupRadius: 10
#   Growth: 0.45881233061153
#   Growth_on_a_n: 0.961573390016078
#   H0: 67.36
#   Htime: 0.714476693031116
#   HubbleNow: 1.898368012794148
#   HubbleTimeGyr: 14.516330166270784
#   HubbleTimeHGyr: 9.7782
#   ICFormat: RVZel
#   ICPositionRange: 2000
#   ICVelocity2Displacement: 1.0
#   IOCores: 68
#   InitialConditionsDirectory: /gpfs/alpine/proj-shared/ast145/AbacusSummit/AbacusSummit_base_c000_ph000/ic
#   InitialRedshift: 99.0
#   L0DensityThreshold: 66.99181795120239
#   L1OutputRedshifts: !!python/tuple [8.0, 5.0, 3.0, 2.75, 2.5, 2.25, 2.0, 1.85, 1.7, 1.625, 1.55, 1.475, 1.4, 1.325, 1.25, 1.175, 1.1,
#     1.025, 0.95, 0.875, 0.8, 0.725, 0.65, 0.575, 0.5, 0.45, 0.4, 0.35, 0.3, 0.25, 0.2, 0.15, 0.1]
#   LPTStepNumber: 0
#   LagrangianPTOrder: 2
#   LastHalfEtaKick: 0.0001882038140634812
#   LightConeDirectory: /gpfs/alpine/proj-shared/ast145/AbacusSummit/AbacusSummit_base_c000_ph000/lightcone
#   LightConeOrigins: !!python/tuple [-990.0, -990.0, -990.0, -990.0, -990.0, -2990.0, -990.0, -2990.0, -990.0]
#   LocalWorkingDirectory: /dev/shm/nmaksimova//AbacusSummit_base_c000_ph000
#   LogDirectory: /gpfs/alpine/proj-shared/ast145/AbacusSummit/AbacusSummit_base_c000_ph000/log
#   LogVerbosity: 2
#   MachineName: d14n02
#   MicrostepTimeStep: 0
#   MinL1HaloNP: 35
#   MultipoleDirectory: /dev/shm/nmaksimova//AbacusSummit_base_c000_ph000/multipole
#   MunmapThreadCore: 69
#   NGPUThreadCores: 2
#   NLightCones: 3
#   NP: 330225942528
#   N_ncdm: 1.0
#   N_ur: 2.0328
#   NearFieldRadius: 2
#   NodeRank: 0
#   NodeSize: 0
#   NumSlabsInsertList: 2
#   NumSlabsInsertListIC: 8
#   OMP_NUM_THREADS: 70
#   OMP_PLACES: '{0}:17:4,{1}:17:4,{88}:18:4,{89}:18:4'
#   OMP_PROC_BIND: spread
#   OmegaNow_DE: 0.190023805065078
#   OmegaNow_K: 0.0
#   OmegaNow_m: 0.809976194934922
#   Omega_DE: 0.684808
#   Omega_K: 0.0
#   Omega_M: 0.315192
#   Omega_Smooth: 0.00142
#   Order: 8
#   OutputDirectory: /gpfs/alpine/proj-shared/ast145/AbacusSummit/AbacusSummit_base_c000_ph000
#   OutputFormat: Pack9
#   OutputFormatVersion: v2.2
#   OutputType: GroupOutput
#   Parallel: 1
#   ParameterFileName: abacus.par
#   ParticleMassHMsun: 2109081520.453063
#   ParticleMassMsun: 3131059264.330557
#   ParticleSubsampleA: 0.03
#   ParticleSubsampleB: 0.07
#   Pipeline: singlestep
#   PowerSpectrumN1d: 256
#   PowerSpectrumStepInterval: -1
#   ProperSoftening: 1
#   RamDisk: 1
#   Redshift: 1.100000000000001
#   RunTime: Wed Apr 22 20:38:43 2020
#   SODensity: !!python/tuple [200, 800]
#   SODensityL1: 223.3060598373413
#   SODensityL2: 893.2242393493652
#   SO_EvolvingThreshold: 1
#   SO_alpha_eligible: 0.8
#   ScaleFactor: 0.4761904761904761
#   ScaleFactorHalf: 0.476109465704498
#   SimComment: Planck2018 LCDM
#   SimName: AbacusSummit_base_c000_ph000
#   SimSet: AbacusSummit
#   SiteName: summit
#   SofteningLength: 0.007233796296296301
#   SofteningLengthNow: 0.01519614271384095
#   SofteningLengthNowInternal: 0.03275027089258861
#   SofteningMax: 0.08680555555555561
#   SofteningType: single_spline
#   StateIOMode: overwrite
#   TaylorDirectory: /dev/shm/nmaksimova//AbacusSummit_base_c000_ph000/taylor
#   Time: 0.376363638775972
#   TimeSliceRedshifts: !!python/tuple [3.0, 2.5, 2.0, 1.7, 1.4, 1.1, 0.8, 0.5, 0.4, 0.3, 0.2, 0.1]
#   TimeSliceRedshifts_Subsample: !!python/tuple [3.0, 2.5, 2.0, 1.7, 1.4, 1.1, 0.8, 0.5, 0.4, 0.3, 0.2, 0.1]
#   TimeStepAccel: 0.25
#   TimeStepDlna: 0.03
#   VelZSpace_to_Canonical: 0.43046893714153
#   VelZSpace_to_kms: 180796.9535994426
#   WorkingDirectory: /gpfs/alpine/proj-shared/ast145/AbacusSummit/AbacusSummit_base_c000_ph000
#   ZD_NumBlock: 384
#   ZD_PLT_filename: /ccs/home/nmaksimova/abacus/external/zeldovich-PLT/eigmodes128
#   ZD_PLT_target_z: 12.0
#   ZD_Pk_file_redshift: 1.0
#   ZD_Pk_filename: /ccs/home/nmaksimova/abacus/external/AbacusSummit/Cosmologies/abacus_cosm000/CLASS_power
#   ZD_Pk_norm: 8.0
#   ZD_Pk_scale: 1.0
#   ZD_Pk_sigma_ratio: 0.02113950155394198
#   ZD_Pk_smooth: 0.0
#   ZD_Seed: 12321
#   ZD_Version: 2
#   ZD_f_cluster: 0.9954948095129318
#   ZD_k_cutoff: 1.0
#   ZD_mpirun_cmd: jsrun -n1 -cALL_CPUS -a1 -r1 -b rs
#   ZD_qPLT: 1
#   ZD_qPLT_rescale: 1
#   ZeldovichDirectory: /ccs/home/nmaksimova/abacus/external/zeldovich-PLT
#   checkpoint_timeout: 5
#   etaD: -5.274896394914925
#   etaK: 2.420543900226161
#   f_growth: 0.888694616811426
#   fsmooth: 0.004505190487068
#   hMpc: 1
#   mpirun_cmd: jsrun -nALL_HOSTS -cALL_CPUS -a1 -r1 -gALL_GPUS -b none
#   n_s: 0.9649
#   omega_b: 0.02237
